sweatha@sweatha-HP-Pavilion-Laptop-15-eg2xxx:~$ ps -aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0  23604 14020 ?        Ss   11:32   0:03 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    11:32   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    11:32   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/0:0H-events_highpri]
root          10  0.0  0.0      0     0 ?        I    11:32   0:00 [kworker/0:1-mm_percpu_wq]
root          12  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    11:32   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    11:32   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    11:32   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/0]
root          17  0.1  0.0      0     0 ?        I    11:32   0:01 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/2]
root          24  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/2]
root          25  0.0  0.0      0     0 ?        I    11:32   0:00 [kworker/2:0-events]
root          26  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/4]
root          30  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/4:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/6]
root          36  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/8]
root          42  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/9]
root          46  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/9]
root          47  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/9]
root          48  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/9]
root          49  0.0  0.0      0     0 ?        I    11:32   0:00 [kworker/9:0-mm_percpu_wq]
root          50  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/9:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/10]
root          52  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/10]
root          53  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/10]
root          54  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/10]
root          55  0.0  0.0      0     0 ?        I    11:32   0:00 [kworker/10:0-rcu_gp]
root          56  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/10:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/11]
root          58  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/11]
root          59  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/11]
root          60  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/11]
root          62  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/11:0H-kblockd]
root          63  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/12]
root          64  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/12]
root          65  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/12]
root          66  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/12]
root          68  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/12:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/13]
root          70  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/13]
root          71  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/13]
root          72  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/13]
root          74  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/13:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/14]
root          76  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/14]
root          77  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/14]
root          78  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/14]
root          80  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/14:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    11:32   0:00 [cpuhp/15]
root          82  0.0  0.0      0     0 ?        S    11:32   0:00 [idle_inject/15]
root          83  0.0  0.0      0     0 ?        S    11:32   0:00 [migration/15]
root          84  0.0  0.0      0     0 ?        S    11:32   0:00 [ksoftirqd/15]
root          86  0.0  0.0      0     0 ?        I<   11:32   0:00 [kworker/15:0H-events_highpri]
